CHR	Location	Associated Gene (ORF)	Associated Gene (Name)	Alignability	Pho4 Occupancy ChIP No Pi	Pho4 Occupancy Input No Pi 	Pho4 Occupancy ChIP High Pi	Pho4 Occupancy Input High Pi	Pho4 Occupancy ChIP in pho80Δ	Pho4 Occupancy ChIP in pho80Δ cbf1Δ	Pho4 Occupancy ChIP in No Pi Pho2Δ	Pho2 Occupancy ChIP No Pi	Pho2 Occupancy Input No Pi 	Pho2 Occupancy ChIP High Pi	Pho2 Occupancy Input High Pi	Cbf1 Occupancy ChIP No Pi	Cbf1 Occupancy Input No Pi	Cbf1 Occupancy ChIP High Pi	Cbf1 Occupancy Input High Pi	Mock IP Occupancy ChIP No Pi	Mock IP Occupancy ChIP High Pi	Nucleosome High Pi	Nucleosome No Pi	Nucleosome cbf1Δ high Pi	PHO4 Enrichment No Pi	PHO4 Enrichment High Pi	Pho2 Enrichment No Pi	Pho2 Enrichment High Pi	Cbf1 Enrichment No Pi	Cbf1 Enrichment High Pi	Pho4 Recruitment (No Pi/ High Pi)	Pho2 Recruitment (No Pi/ High Pi)	Pho4 binding No Pi	Cbf1 binding No Pi	Pho4 binding High Pi	Cbf1 binding High Pi
chr4	547257	YDR044W 	HEM13 	1	32	223	16	97	26	14	12	58	140	16	98	80	78	109	98	11	22	703	768	713	1.3	0.8	1.3	0.9	4.7	1.5	1.7	1.5	0	1	0	0
chr4	562677	YDR054C YDR055W 	CDC34 PST1 	1	104	270	19	80	76	53	28	115	112	18	72	336	82	634	64	8	47	507	610	477	3.7	1.2	3.1	1.3	18.6	13.4	3.1	2.4	1	1	0	1
chr4	562973	YDR054C YDR055W 	CDC34 PST1 	1	185	174	14	66	149	163	30	177	87	38	66	1814	83	2879	24	8	35	112	137	151	10.2	1.1	6.2	3	99.7	161	9.5	2.1	1	1	0	1
chr4	562984	YDR054C YDR055W 	CDC34 PST1 	1	189	177	13	68	165	178	32	167	85	37	68	1776	83	2930	26	9	34	180	143	284	10.2	1	5.9	2.9	97.5	154.7	10.2	2.1	1	1	0	1
chr4	574009	YDR061W 	YDR061W 	1	19	215	13	69	25	36	5	110	117	38	75	2782	60	4763	54	5	11	347	107	365	0.8	0.9	2.8	2.6	211.8	118.9	0.9	1.1	0	1	0	1
chr4	591803	YDR072C YDR073W 	IPT1 SNF11 	1	61	93	20	61	127	106	28	167	72	41	55	992	80	3203	50	10	40	64	125	123	6.3	1.6	7	3.9	56.5	87.3	3.9	1.8	1	1	0	1
chr4	598311	YDR076W 	RAD55 	1	18	144	7	34	21	17	5	53	56	20	43	110	16	80	27	0	2	53	45	41	1.2	1	2.9	2.4	31.3	3.9	1.2	1.2	0	0	0	0
chr4	623305	NA	NA	1	64	197	12	63	130	37	13	102	99	10	77	39	54	32	61	8	27	463	492	468	3.1	1	3.1	0.7	3.3	0.7	3.2	4.5	1	0	0	0
chr4	632431	NA	NA	1	37	166	17	65	30	5	6	44	95	12	67	38	73	36	65	19	40	464	335	387	2.1	1.3	1.4	1	2.4	0.8	1.6	1.4	0	0	0	0
chr4	634166	NA	NA	1	27	163	25	74	52	23	15	36	84	12	64	52	92	151	65	21	51	448	670	442	1.6	1.7	1.3	1	2.6	3.1	0.9	1.3	0	0	0	1
chr4	636049	NA	NA	1	48	149	21	87	70	197	20	82	108	21	90	192	94	435	61	18	33	709	682	676	3	1.2	2.3	1.2	9.3	9.7	2.4	1.8	0	1	0	1
chr4	662541	NA	NA	1	11	190	9	50	24	13	3	29	70	8	43	4	42	3	56	1	8	406	371	327	0.6	0.9	1.3	1	0.4	0.1	0.6	1.3	0	0	0	0
chr4	723381	NA	NA	1	25	190	25	81	43	25	10	42	98	10	80	47	63	169	81	7	47	701	554	566	1.2	1.5	1.3	0.7	3.4	2.8	0.8	1.9	0	1	0	1
chr4	731304	YDR138W 	HPR1 	1	26	184	15	59	31	11	7	56	103	11	51	44	48	71	62	2	28	395	426	442	1.4	1.3	1.6	1.2	4.2	1.6	1.1	1.4	0	0	0	0
chr4	739350	YDR141C 	DOP1 	1	44	163	12	60	40	10	15	43	137	16	61	51	74	137	50	9	42	367	322	526	2.6	1.1	0.9	1.4	3.1	3.7	2.5	0.7	0	1	0	1
chr4	740158	YDR141C 	DOP1 	1	35	148	12	67	29	54	12	83	94	14	61	5944	52	12864	39	10	25	40	38	312	2.3	0.9	2.7	1.2	515.5	441.6	2.4	2.2	0	1	0	1
chr4	763263	NA	NA	1	23	197	22	79	36	19	6	34	116	17	65	347	86	1062	93	12	51	786	828	976	1.1	1.4	0.9	1.4	18.4	15.4	0.8	0.6	0	1	0	1
chr4	794071	YDR169C 	STB3 	1	52	216	16	73	33	15	10	39	146	4	78	134	69	204	64	11	31	362	410	429	2.3	1.1	0.8	0.3	8.9	4.3	2	3.1	0	1	0	1
chr4	794367	YDR169C 	STB3 	1	83	162	12	59	92	66	36	101	80	34	66	351	83	860	64	12	43	23	94	14	4.9	1	3.8	2.7	19.3	18.1	4.8	1.4	1	1	0	1
chr4	797553	NA	NA	1	12	161	10	54	21	12	9	26	96	6	62	150	43	226	69	5	25	600	625	504	0.7	0.9	0.8	0.5	16	4.4	0.8	1.5	0	1	0	1
chr4	825761	NA	NA	1	9	137	9	48	19	14	6	15	66	5	43	13	33	2	38	0	3	411	418	254	0.7	0.9	0.7	0.6	1.8	0.1	0.7	1.1	0	0	0	0
chr4	842174	YDR191W YDR190C 	HST4 RVB1 	1	43	164	17	75	56	63	14	254	77	47	66	1767	33	2073	44	5	25	34	21	32	2.5	1.1	10	3.8	242.2	63.7	2.3	2.6	0	1	0	1
chr4	845846	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4	889057	YDR213W 	UPC2 	1	43	178	25	75	51	23	14	137	118	38	66	96	82	178	49	14	62	454	337	616	2.3	1.7	3.5	3	5.3	4.9	1.4	1.2	0	1	0	1
chr4	893108	YDR214W 	AHA1 	1	53	197	26	80	66	17	8	89	120	16	78	55	84	126	87	9	31	335	480	363	2.5	1.6	2.2	1.1	3	2	1.6	2	0	1	0	1
chr4	928922	NA	NA	1	45	259	29	92	55	15	20	61	148	25	97	66	105	168	94	12	50	594	678	556	1.6	1.6	1.3	1.3	2.8	2.4	1	0.9	0	1	0	1
chr4	935909	YDR236C YDR237W 	FMN1 MRPL7 	1	62	225	17	68	36	18	8	48	119	21	73	35	69	102	95	6	32	1240	1289	1115	2.6	1.2	1.2	1.5	2.3	1.5	2.1	0.8	0	0	0	0
chr4	955249	YDR247W 	YDR247W 	1	66	207	19	92	82	88	19	105	138	34	100	568	112	1386	91	27	81	441	469	463	3	1.1	2.3	1.8	23.1	20.7	2.8	1.3	0	1	0	1
chr4	964940	YDR253C YDR254W 	MET32 CHL4 	1	24	193	11	49	35	42	5	99	119	28	53	1807	41	2917	44	3	22	57	66	279	1.2	1.1	2.5	2.8	201.9	89.3	1	0.9	0	1	0	1
chr4	970972	YDR257C 	RMS1 	1	19	156	11	63	22	7	9	43	92	9	60	15	37	24	43	9	30	253	296	264	1.1	0.9	1.4	0.8	1.8	0.7	1.3	1.9	0	0	0	0
chr4	1004172	YDR268W YDR267C 	MSW1 YDR267C 	1	31	205	21	85	29	10	10	53	121	20	88	40	82	78	85	8	34	677	701	688	1.4	1.3	1.3	1.2	2.2	1.2	1.1	1.1	0	0	0	0
chr4	1022597	YDR281C 	PHM6 	1	916	184	14	78	622	196	32	489	132	36	72	277	88	366	42	10	47	433	163	298	47.4	0.9	11.2	2.6	14.2	11.7	51.2	4.3	1	1	0	1
chr4	1041032	NA	NA	1	27	144	10	67	24	11	5	40	77	6	69	28	46	24	51	2	4	635	540	709	1.8	0.8	1.6	0.5	2.7	0.6	2.3	3.3	0	0	0	0
chr4	1051376	NA	NA	1	34	228	13	88	39	23	12	53	126	17	68	12	93	69	75	8	63	638	546	530	1.4	0.8	1.3	1.3	0.6	1.2	1.8	1	0	0	0	0
chr4	1056003	YDR297W 	SUR2 	1	89	172	40	80	115	99	44	125	112	35	83	750	94	1990	59	18	58	191	259	264	4.9	2.5	3.4	2.2	36.4	45.4	2	1.5	0	1	0	1
chr4	1084817	YDR310C YDR311W 	SUM1 TFB1 	1	54	160	10	69	58	16	7	137	93	12	60	12	47	10	53	1	10	729	717	698	3.2	0.7	4.4	1.1	1.2	0.3	4.6	4.2	0	0	0	0
chr4	1092851	YDR315C YDR314C 	IPK1 YDR314C 	1	33	242	14	82	44	10	26	58	124	15	66	43	48	61	75	5	9	482	503	479	1.3	0.9	1.4	1.2	4.1	1.1	1.5	1.2	0	0	0	0
chr4	1147332	NA	NA	1	16	152	3	44	18	13	1	32	60	6	50	33	20	21	41	1	6	646	570	505	1	0.3	1.6	0.6	7.6	0.7	3	2.6	0	0	0	0
chr4	1197479	NA	NA	1	10	190	13	69	37	5	9	27	84	14	64	31	58	76	67	7	20	411	438	406	0.5	0.9	1	1.2	2.5	1.5	0.5	0.8	0	0	0	0
chr4	1213722	YDR368W YDR366C 	YPR1 YDR366C 	1	10	183	6	42	26	8	2	42	83	4	47	76	22	34	51	3	12	44	56	125	0.5	0.7	1.5	0.5	15.6	0.9	0.7	3.3	0	1	0	0
chr4	1215104	NA	NA	1	12	136	14	66	35	14	6	76	92	11	61	587	82	1310	49	26	64	416	362	412	0.9	1	2.5	0.9	32.4	36.2	0.8	2.7	0	1	0	1
chr4	1234435	YDR380W 	ARO10 	1	21	172	22	67	36	27	9	46	106	26	64	33	68	139	67	5	50	567	432	626	1.2	1.6	1.3	2.1	2.2	2.8	0.7	0.6	0	0	0	1
chr4	1239210	YDR381C-A YDR382W 	YDR381C-A RPP2B 	1	24	187	9	71	34	171	5	96	109	35	79	3070	51	5448	61	14	18	219	86	317	1.2	0.6	2.7	2.3	272	121.9	1.9	1.1	0	1	0	1
chr4	1241417	YDR384C YDR383C 	YDR384C NKP1 	1	40	214	35	101	52	24	8	43	117	19	80	31	100	123	90	10	37	377	391	451	1.8	1.8	1.1	1.2	1.4	1.9	1	0.9	0	0	0	1
chr4	1260399	YDR393W 	SHE9 	1	65	180	11	65	47	13	8	73	79	15	66	61	42	33	55	4	13	412	298	469	3.4	0.9	2.8	1.2	6.5	0.8	4	2.4	1	1	0	0
chr4	1266602	YDR397C 	NCB2 	1	39	176	14	71	36	34	6	56	90	21	74	6995	88	20610	52	9	47	165	120	273	2.1	1	1.9	1.5	360.9	537.5	2.1	1.2	0	1	0	1
chr4	1271175	YDR400W 	URH1 	1	40	200	18	65	35	18	6	69	109	13	80	63	110	201	77	13	19	692	611	680	1.9	1.4	1.9	0.9	2.6	3.5	1.4	2.2	0	1	0	1
chr4	1291641	NA	NA	1	29	181	11	72	23	12	4	27	94	7	66	31	61	45	57	8	48	399	444	409	1.5	0.8	0.9	0.5	2.3	1.1	1.9	1.7	0	0	0	0
chr4	1300715	NA	NA	1	42	208	13	87	26	17	13	47	125	16	79	52	63	110	71	6	38	339	259	413	1.9	0.7	1.1	1.1	3.8	2.1	2.6	1.1	0	1	0	1
chr4	1315472	NA	NA	1	20	144	17	62	29	10	3	30	67	7	50	14	29	10	62	1	40	399	551	310	1.3	1.4	1.4	0.8	2.1	0.2	0.9	1.8	0	0	0	0
chr4	1330004	NA	NA	1	41	157	17	60	53	12	12	48	81	24	60	23	55	18	57	12	40	190	203	166	2.5	1.4	1.8	2.1	1.9	0.4	1.7	0.9	0	0	0	0
chr4	1337942	YDR438W YDR437W 	YDR438W YDR437W 	1	19	219	14	78	33	14	7	93	125	22	74	2677	74	3578	100	9	13	154	258	129	0.8	0.9	2.3	1.6	164	48.4	0.9	1.4	0	1	0	1
chr4	1337963	YDR438W YDR437W 	YDR438W YDR437W 	1	24	215	15	75	30	17	7	84	122	25	73	2780	71	3779	96	10	26	311	395	630	1.1	1	2.1	1.8	178.1	53.2	1	1.2	0	1	0	1
chr4	1345428	YDR441C 	APT2 	1	349	184	20	76	424	250	142	206	118	38	77	366	92	1056	55	9	78	353	218	334	18.1	1.3	5.3	2.6	18.1	26.1	14	2	1	1	0	1
chr4	1354329	YDR446W 	ECM11 	1	33	199	17	68	36	11	21	39	108	6	63	81	64	148	59	10	30	522	588	651	1.6	1.3	1.1	0.5	5.7	3.4	1.2	2.3	0	1	0	1
chr4	1357891	NA	NA	1	13	152	15	45	29	1	5	32	66	9	50	109	28	139	59	2	10	266	451	297	0.8	1.7	1.5	1	17.7	3.2	0.5	1.5	0	1	0	1
chr4	1378328	NA	NA	1	26	189	11	61	31	6	7	26	103	17	64	15	48	17	50	7	11	415	362	413	1.3	0.9	0.8	1.4	1.4	0.5	1.5	0.5	0	0	0	0
chr4	1387484	YDR463W 	STP1 	1	56	165	23	73	65	26	13	56	110	15	67	96	85	198	63	19	24	425	397	395	3.3	1.6	1.6	1.2	5.1	4.2	2	1.3	0	1	0	1
chr4	1416714	YDR480W YDR479C 	DIG2 YDR479C 	1	38	211	18	78	47	16	7	86	83	14	78	18	77	92	88	18	32	599	728	668	1.7	1.2	3.2	1	1.1	1.4	1.5	3.3	0	0	0	0
chr4	1420781	YDR481C YDR483W YDR482C 	PHO8 KRE2 CWC21 	1	719	191	14	77	540	225	223	365	116	23	68	611	86	825	71	22	46	428	443	494	35.8	0.9	9.5	1.7	32.4	15.6	39.9	5.5	1	1	0	1
chr4	1434304	YDR490C YDR492W 	PKH1 YDR492W 	1	39	193	15	82	46	28	8	48	120	23	82	55	77	99	92	12	50	486	871	737	1.9	0.9	1.2	1.5	3.2	1.5	2.1	0.8	0	0	0	0
chr4	1452973	NA	NA	1	30	180	14	50	40	38	13	59	93	23	58	17	39	15	49	7	20	571	288	467	1.6	1.4	1.9	2.1	2	0.4	1.1	0.9	0	0	0	0
chr4	1454784	YDR502C 	SAM2 	1	89	218	10	81	63	137	6	135	111	48	76	1287	74	2913	60	7	35	56	102	185	3.9	0.6	3.7	3.3	78.6	66.2	6.1	1.1	1	1	0	1
chr4	1455993	YDR503C 	LPP1 	1	29	215	5	53	33	19	4	55	97	11	60	100	42	40	53	5	11	158	147	170	1.3	0.5	1.7	1	10.9	1	2.7	1.7	0	1	0	0
chr4	1464060	NA	NA	1	19	144	12	73	27	16	10	32	102	11	60	41	63	43	69	6	30	529	533	453	1.2	0.8	0.9	1	3	0.8	1.5	0.9	0	0	0	0
chr4	1466879	NA	NA	1	30	192	37	97	60	21	16	73	115	45	77	44	95	54	89	25	55	310	332	328	1.5	2	1.9	3	2.1	0.8	0.8	0.6	0	0	0	0
chr4	1469135	YDR508C YDR510W 	GNP1 SMT3 	1	45	162	12	66	56	119	21	117	109	44	74	4322	97	11763	57	12	38	108	111	68	2.6	0.9	3.2	3.1	201.6	277.7	2.8	1	0	1	0	1
chr4	1497870	YDR530C YDR531W 	APA2 YDR531W 	1	13	165	9	71	25	6	8	52	72	17	54	658	59	615	51	2	12	445	394	510	0.8	0.6	2.2	1.7	50.4	16.4	1.3	1.3	0	1	0	1
chr4	1521472	YDR541C 	YDR541C 	1	15	163	10	51	24	11	7	17	98	18	48	24	44	25	56	5	13	516	416	490	0.9	1	0.5	1.9	2.5	0.6	0.9	0.3	0	0	0	0
chr4	1530063	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	2079	NA	NA	1	10	43	4	27	8	6	1	10	26	4	21	9	30	0	25	4	0	193	241	195	2.2	0.8	1.2	0.9	1.4	0	2.7	1.2	0	0	0	0
chr5	5391	YEL075C YEL076C YEL076C-A 	YEL075C YEL076C YEL076C-A 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	13482	YEL072W 	RMD6 	1	31	189	11	52	40	97	5	118	87	33	50	799	26	418	57	2	15	15	42	36	1.5	1.1	4.1	3.5	141.9	10	1.4	1.2	0	1	0	1
chr5	43295	YEL058W YEL059C-A 	PCM1 SOM1 	1	39	212	23	93	46	28	16	71	125	15	87	42	112	259	96	8	53	1051	1069	966	1.7	1.3	1.7	0.9	1.7	3.7	1.4	1.9	0	0	0	1
chr5	67212	YEL047C 	YEL047C 	1	46	233	29	82	77	25	14	65	107	28	80	38	37	20	82	4	26	380	319	278	1.9	1.8	1.8	1.9	4.7	0.3	1	1	0	0	0	0
chr5	69286	YEL044W YEL046C 	IES6 GLY1 	1	115	142	29	86	102	356	41	172	113	66	67	7281	115	30366	55	20	92	64	83	47	7.7	1.7	4.6	5.2	287.5	742	4.6	0.9	1	1	0	1
chr5	70329	YEL044W YEL043W 	IES6 YEL043W 	1	27	177	13	69	32	95	9	82	118	27	67	4308	48	6824	44	4	17	54	26	198	1.5	0.9	2.1	2.1	407.6	209	1.6	1	0	1	0	1
chr5	92628	NA	NA	1	50	231	23	78	57	33	32	58	117	13	97	67	62	106	83	7	54	567	585	445	2.1	1.5	1.5	0.7	5	1.7	1.4	2.1	0	1	0	0
chr5	105045	NA	NA	1	21	213	10	69	38	19	12	32	101	15	62	13	55	32	64	16	11	553	476	426	0.9	0.7	1	1.3	1.1	0.7	1.3	0.7	0	0	0	0
chr5	107051	YEL024W 	RIP1 	1	54	151	14	89	38	107	21	83	109	33	75	4200	90	15310	59	15	22	68	77	43	3.4	0.8	2.3	2.3	213.1	351.8	4.4	1	0	1	0	1
chr5	124387	YEL017W 	YEL017W 	1	26	181	20	84	37	13	17	61	83	22	64	19	85	62	59	9	26	431	578	490	1.4	1.2	2.2	1.8	1	1.4	1.1	1.3	0	0	0	0
chr5	151991	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	153166	YER001W 	MNN1 	1	356	137	21	87	354	194	100	223	75	54	64	612	91	1917	69	7	41	99	107	79	24.7	1.2	9	4.4	30.7	37.6	20.1	2	1	1	0	1
chr5	170084	NA	NA	1	26	229	16	60	39	14	7	35	109	10	70	37	60	50	55	7	33	365	429	405	1.1	1.3	1	0.7	2.8	1.2	0.8	1.3	0	0	0	0
chr5	190686	NA	NA	1	36	173	19	78	42	12	8	22	87	18	65	39	76	96	55	7	41	346	315	307	2	1.2	0.8	1.4	2.4	2.4	1.6	0.5	0	0	0	0
chr5	192030	YER017C YER019W YER018C 	AFG3 ISC1 SPC25 	1	134	136	18	72	195	563	54	85	95	25	63	3855	100	15353	54	20	49	284	373	263	9.3	1.2	2.7	2.1	174.5	382.3	7.5	1.3	1	1	0	1
chr5	192087	YER017C YER019W YER018C 	AFG3 ISC1 SPC25 	1	59	129	23	73	116	395	34	69	101	26	71	5062	101	19387	69	25	46	326	392	288	4.3	1.6	2.1	1.9	228.7	379.2	2.7	1.1	0	1	0	1
chr5	193638	NA	NA	1	57	164	21	83	59	28	15	61	111	14	73	47	105	251	82	22	48	386	333	441	3.3	1.3	1.7	1	2.1	4.1	2.5	1.6	0	0	0	1
chr5	203896	NA	NA	1	32	206	11	79	29	18	12	53	140	6	77	16	53	43	61	9	43	512	563	499	1.5	0.7	1.2	0.4	1.4	1	2	2.7	0	0	0	0
chr5	237357	YER043C YER044C 	SAH1 ERG28 	1	45	182	15	67	45	125	7	62	79	18	83	3774	54	10376	49	8	19	45	68	41	2.4	1.1	2.4	1.2	320.4	285.4	2.1	2	0	1	0	1
chr5	254751	YER051W YER050C 	YER051W RSM18 	1	44	184	7	85	39	18	11	42	107	14	58	30	73	86	60	7	48	865	796	796	2.3	0.4	1.2	1.3	1.9	1.9	5.2	0.9	0	0	0	0
chr5	258259	YER052C 	HOM3 	1	110	170	13	64	103	42	37	106	74	20	65	303	38	217	39	9	33	225	212	233	6.2	1.1	4.3	1.6	36.6	7.6	5.8	2.7	1	1	0	1
chr5	260265	YER053C 	YER053C 	1	41	208	8	81	38	133	18	111	105	43	72	2987	78	7311	55	8	49	75	93	80	1.9	0.5	3.2	3.1	173.8	180.4	4	1	0	1	0	1
chr5	266011	YER055C 	HIS1 	1	495	181	17	59	234	109	63	290	111	55	77	922	70	2287	43	13	44	108	245	135	26	1.4	7.9	3.7	60.1	72.4	18	2.1	1	1	0	1
chr5	271297	YER057C YER058W 	HMF1 PET117 	1	27	206	10	69	29	12	2	49	85	15	61	135	38	129	66	4	14	751	643	790	1.3	0.7	1.7	1.3	16.1	2.7	1.7	1.4	0	1	0	1
chr5	275714	NA	NA	1	55	153	26	75	56	29	13	73	95	18	76	52	68	63	60	8	47	318	584	660	3.4	1.8	2.3	1.2	3.5	1.4	2	1.9	0	1	0	0
chr5	278527	NA	NA	1	41	177	21	80	29	13	12	49	102	18	78	26	96	15	61	8	39	372	512	449	2.2	1.4	1.4	1.2	1.2	0.3	1.6	1.2	0	0	0	0
chr5	280936	YER062C YER063W 	HOR2 THO1 	1	83	157	7	58	54	73	16	100	92	25	60	1765	68	4199	46	9	25	97	68	56	5	0.6	3.3	2.2	118	122.5	8.2	1.5	1	1	0	1
chr5	288944	NA	NA	1	22	209	11	81	22	3	7	30	106	18	77	17	47	11	75	8	11	251	589	287	1	0.7	0.9	1.2	1.6	0.2	1.4	0.7	0	0	0	0
chr5	302651	YER072W YER071C 	VTC1 YER071C 	1	264	193	12	74	193	165	22	291	98	23	60	464	35	205	80	3	17	46	41	55	13	0.8	9	2	59.6	3.4	15.7	4.6	1	1	0	1
chr5	313434	YER076C 	YER076C 	1	52	181	22	81	66	36	16	64	92	16	67	64	83	195	58	7	36	693	565	692	2.7	1.3	2.1	1.2	3.5	4.5	2	1.7	0	1	0	1
chr5	338077	YER089C YER090W 	PTC2 TRP2 	1	19	221	29	75	20	18	7	50	106	21	66	29	55	49	76	10	38	811	831	819	0.8	2	1.4	1.7	2.4	0.9	0.4	0.8	0	0	0	0
chr5	342697	YER092W YER091C 	IES5 MET6 	1	45	205	11	91	50	119	24	132	149	41	92	6966	104	22248	70	16	43	161	112	101	2.1	0.6	2.7	2.3	304.3	430.3	3.3	1.1	0	1	0	1
chr5	358378	YER099C 	PRS2 	1	35	209	26	97	48	18	9	50	135	31	93	62	99	146	109	9	31	1113	1311	1066	1.6	1.4	1.1	1.7	2.9	1.8	1.2	0.7	0	1	0	1
chr5	359185	YER100W YER099C 	UBC6 PRS2 	1	45	190	13	70	17	42	8	68	122	20	84	2937	70	5630	75	10	15	183	161	264	2.2	0.9	1.7	1.3	189.6	101.3	2.4	1.3	0	1	0	1
chr5	369492	NA	NA	1	29	189	16	43	26	14	7	32	99	10	51	13	31	28	45	2	11	398	321	335	1.5	1.9	1	1	1.9	0.8	0.8	1	0	0	0	0
chr5	375208	YER107C 	GLE2 	1	7	165	2	47	18	10	9	20	62	5	55	520	34	220	37	2	1	263	171	381	0.4	0.2	1	0.5	70.1	8	2.1	1.8	0	1	0	1
chr5	386999	YER112W 	LSM4 	1	23	225	21	77	25	61	3	240	84	70	77	9349	81	28053	70	6	24	171	123	163	1	1.4	8.7	4.7	526.9	539	0.7	1.8	0	1	0	1
chr5	394156	YER114C 	BOI2 	1	15	165	20	69	36	28	4	91	90	18	76	2798	55	5548	45	7	17	57	38	72	0.8	1.5	3.1	1.2	231.2	167.4	0.6	2.5	0	1	0	1
chr5	411392	NA	NA	1	40	213	21	85	54	23	18	49	121	12	86	98	78	104	72	23	54	447	489	361	1.8	1.2	1.2	0.7	5.7	2	1.5	1.6	0	0	0	0
chr5	414766	YER126C YER127W 	NSA2 LCP5 	1	40	209	33	90	31	13	4	47	112	18	72	65	86	223	70	13	50	378	478	435	1.8	1.9	1.3	1.3	3.4	4.3	1	1	0	1	0	1
chr5	416446	YER129W YER128W 	PAK1 YER128W 	1	57	183	20	62	40	21	7	67	104	15	84	86	62	236	70	6	41	355	346	373	3	1.6	1.9	0.9	6.3	4.5	1.8	2.1	1	1	0	1
chr5	462551	YER145C YER146W 	FTR1 LSM5 	1	40	200	20	95	56	29	10	90	122	42	80	161	100	272	69	17	44	269	341	354	1.9	1.1	2.2	2.7	7.3	5.4	1.8	0.8	0	1	0	1
chr5	490064	YER158C 	YER158C 	1	17	213	14	88	21	14	12	47	137	11	77	27	94	62	61	9	44	333	357	329	0.8	0.8	1	0.8	1.3	1.4	0.9	1.3	0	0	0	0
chr5	506246	NA	NA	1	27	192	39	86	45	10	18	44	128	16	71	36	72	62	74	10	22	476	658	505	1.3	2.3	1	1.1	2.3	1.1	0.6	0.9	0	0	1	0
chr5	519345	NA	NA	1	26	149	19	61	36	9	7	36	82	11	58	32	58	73	44	7	47	305	288	306	1.6	1.6	1.3	1	2.5	2.2	1.1	1.3	0	0	0	0
chr5	545217	YER177W 	BMH1 	1	24	62	9	33	44	43	8	32	52	7	20	654	35	2845	16	11	16	65	30	45	3.6	1.3	1.9	1.8	85.7	242.6	2.7	1	0	1	0	1
chr5	562780	YER186C 	YER186C 	1	88	165	13	79	59	26	19	62	120	15	58	219	74	303	47	4	24	753	585	802	5.1	0.8	1.6	1.3	13.4	8.7	6.1	1.2	1	1	0	1
chr5	569195	NA	NA	1	39	201	18	73	25	17	18	28	118	12	72	55	78	130	72	8	22	506	368	499	1.8	1.2	0.7	0.9	3.2	2.4	1.5	0.8	0	1	0	1
chr5	570041	NA	NA	1	27	241	12	90	41	15	12	48	133	22	98	53	61	65	66	10	14	855	855	889	1.1	0.7	1.1	1.2	3.9	1.3	1.5	0.9	0	1	0	0
chr5	571476	YER190W YER189W 	YRF1-2 YER189W 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	574880	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6	1286	YFL067W 	YFL067W 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6	15603	YFL057C YFL056C 	YFL057C AAD6 	1	22	198	21	63	26	10	16	42	117	13	59	39	76	79	63	9	21	397	336	356	1	1.7	1.1	1.2	2.3	1.7	0.6	0.9	0	0	0	0
chr6	21351	NA	NA	1	20	163	15	87	34	12	5	26	76	18	54	82	83	256	62	13	36	650	501	566	1.1	0.9	1.1	1.7	4.5	5.6	1.3	0.6	0	1	0	1
chr6	31828	NA	NA	1	50	182	14	64	50	15	8	42	86	8	59	24	62	82	49	4	27	549	491	438	2.6	1.1	1.5	0.7	1.7	2.3	2.3	2	0	0	0	0
chr6	63319	YFL034C-B 	MOB2 	1	22	183	25	76	31	13	11	35	87	13	59	27	87	66	65	11	58	521	441	476	1.1	1.6	1.2	1.1	1.4	1.4	0.7	1.1	0	0	0	0
chr6	73991	YFL033C 	RIM15 	1	30	195	13	76	40	26	10	44	135	18	70	94	86	315	91	11	39	665	573	571	1.5	0.9	1	1.4	4.9	4.7	1.7	0.7	0	1	0	1
chr6	84286	NA	NA	1	27	175	20	57	64	10	17	42	89	23	58	20	31	14	61	0	29	558	486	472	1.5	1.7	1.4	2.1	3	0.3	0.8	0.7	0	0	0	0
chr6	90393	YFL024C YFL023W 	EPL1 BUD27 	1	34	230	15	75	33	34	10	98	120	16	75	1089	55	1511	79	15	14	79	77	80	1.4	1	2.5	1.1	90.3	26	1.4	2.2	0	1	0	1
chr6	103403	YFL018C YFL017W-A 	LPD1 SMX2 	1	18	221	8	74	18	25	8	70	101	25	65	782	46	708	71	2	17	499	527	417	0.8	0.6	2.1	2	78	13.6	1.4	1	0	1	0	1
chr6	131501	YFL004W 	VTC2 	1	1276	220	23	67	509	208	53	918	147	44	71	354	82	399	68	10	37	427	193	401	55.3	1.7	18.9	3.2	19.7	8	32.1	5.9	1	1	0	1
